isbn,genres
9780141439518,classics;romance
9780141439556,classics;romance
9780141441146,classics;romance
9780141439600,classics;historical-fiction
9780743273565,classics;literary-fiction
9780061120084,classics;historical-fiction
9780451524935,dystopian;classics
9780451526342,dystopian;classics
9780547928227,epic-fantasy;fantasy;adventure
9780441172719,space-opera;science-fiction
9780441569595,science-fiction;dystopian
9780345391803,science-fiction;humor
9780812550702,space-opera;science-fiction
9780060850524,dystopian;classics
9780307743657,horror;thriller
9780062073488,mystery;classics
9780062315007,magical-realism;fantasy
9780060883287,magical-realism;literary-fiction
9781400033416,magical-realism;literary-fiction
9780385490818,dystopian;science-fiction
9780140268867,poetry;classics
9780140449266,adventure;classics
9780140449334,philosophy;classics
9780553380163,science
9780062316097,history;science
9780812981605,psychology;self-help
9780374533557,psychology;science
9780142410370,children
9780061124952,children
9780156012195,children;fantasy
9780307387899,dystopian;literary-fiction
9780439554930,children;fantasy
9780307887443,science-fiction;adventure
9780060764890,children;fantasy
9780142000670,classics;literary-fiction
9780739326220,historical-fiction
9780385732550,dystopian;science-fiction
9781416914280,urban-fantasy;fantasy
9780060513030,poetry;children
9780439244190,children;classics
9780099408390,children
9780385517232,thriller
9780684830490,classics;literary-fiction
9780451525260,classics;historical-fiction
9780525421030,young-adult
9780452287020,historical-fiction
9780141382890,young-adult;fantasy
9780964729230,religion-spirituality
9780786817870,children
9780375826696,epic-fantasy;fantasy
9780312863555,space-opera;science-fiction
9780385721790,literary-fiction;historical-fiction
9780061125270,children;fantasy
9780385738750,young-adult;dystopian
9780062060563,thriller;mystery
9781250012579,young-adult;contemporary
9780786890750,romance;contemporary
9780525423270,young-adult
9781595141750,urban-fantasy;fantasy
9780007202300,children
9780307279460,travel;humor
9780735221109,thriller
9781400078776,dystopian;literary-fiction
9780743477550,drama;classics
9780525421580,young-adult
9780375869020,children
9780670022410,fantasy;romance
9780689840920,children;adventure
9780590032490,children
9780345505330,historical-fiction;romance
9781567921892,horror
9780061543654,young-adult;romance
9780060838720,contemporary;literary-fiction
9780439321600,children;fantasy
9780061120060,classics;literary-fiction
9780142406250,young-adult;romance
9781844080380,mystery;classics
9780765346520,epic-fantasy;fantasy
9780393354324,history;science
9780525951650,historical-fiction;adventure
9780670024780,historical-fiction
9780141043760,fiction;mystery
9780441014910,urban-fantasy;fantasy
9781406321340,urban-fantasy;fantasy
9780670241330,children
9780316013680,young-adult;contemporary
9780385074070,classics;literary-fiction
9780385335997,historical-fiction;romance
9780743253970,classics;young-adult
9780345418920,science-fiction;humor
9780316769020,fiction;classics
9780375507250,literary-fiction
9780670011940,young-adult;romance
9781416912040,young-adult
9780140544510,children
9780385737944,young-adult;dystopian
9780062409850,historical-fiction;literary-fiction
9780312427733,literary-fiction
9780618391110,epic-fantasy;fantasy
9780061662690,young-adult;urban-fantasy
9780345497512,science-fiction;mystery
9780545123280,young-adult;fantasy
9780671510053,fiction;literary-fiction
9780312348670,romance;contemporary
9780743272490,historical-fiction;romance
9780385335980,historical-fiction;romance
9780385739160,young-adult;fantasy
