title,author,isbn
Pride and Prejudice,Jane Austen,9780141439518
Wuthering Heights,Emily Bronte,9780141439556
Jane Eyre,Charlotte Bronte,9780141441146
A Tale of Two Cities,Charles Dickens,9780141439600
The Great Gatsby,F. Scott Fitzgerald,9780743273565
To Kill a Mockingbird,Harper Lee,9780061120084
1984,George Orwell,9780451524935
Animal Farm,George Orwell,9780451526342
The Hobbit,J. R. R. Tolkien,9780547928227
Dune,Frank Herbert,9780441172719
Neuromancer,William Gibson,9780441569595
The Hitchhiker's Guide to the Galaxy,Douglas Adams,9780345391803
Ender's Game,Orson Scott Card,9780812550702
Brave New World,Aldous Huxley,9780060850524
The Shining,Stephen King,9780307743657
And Then There Were None,Agatha Christie,9780062073488
The Alchemist,Paulo Coelho,9780062315007
One Hundred Years of Solitude,Gabriel Garcia Marquez,9780060883287
Beloved,Toni Morrison,9781400033416
The Handmaid's Tale,Margaret Atwood,9780385490818
The Odyssey,Homer,9780140268867
The Count of Monte Cristo,Alexandre Dumas,9780140449266
Meditations,Marcus Aurelius,9780140449334
A Brief History of Time,Stephen Hawking,9780553380163
Sapiens,Yuval Noah Harari,9780062316097
The Power of Habit,Charles Duhigg,9780812981605
"Thinking, Fast and Slow",Daniel Kahneman,9780374533557
Matilda,Roald Dahl,9780142410370
Charlotte's Web,E. B. White,9780061124952
The Little Prince,Antoine de Saint-Exupery,9780156012195
The Road,Cormac McCarthy,9780307387899
Harry Potter and the Sorcerer's Stone,J. K. Rowling,9780439554930
Ready Player One,Ernest Cline,9780307887443
"The Lion, the Witch and the Wardrobe",C. S. Lewis,9780060764890
Of Mice and Men,John Steinbeck,9780142000670
Memoirs of a Geisha,Arthur Golden,9780739326220
The Giver,Lois Lowry,9780385732550
City of Bones,Cassandra Clare,9781416914280
Where the Sidewalk Ends,Shel Silverstein,9780060513030
Holes,Louis Sachar,9780439244190
Where the Wild Things Are,Maurice Sendak,9780099408390
The Innocent Man,John Grisham,9780385517232
The Old Man and the Sea,Ernest Hemingway,9780684830490
Les Miserables,Victor Hugo,9780451525260
If I Stay,Gayle Forman,9780525421030
Girl with a Pearl Earring,Tracy Chevalier,9780452287020
The Titan's Curse,Rick Riordan,9780141382890
The Shack,William P. Young,9780964729230
Artemis Fowl,Eoin Colfer,9780786817870
Eragon,Christopher Paolini,9780375826696
The Moon Is a Harsh Mistress,Robert A. Heinlein,9780312863555
Atonement,Ian McEwan,9780385721790
The Voyage of the Dawn Treader,C. S. Lewis,9780061125270
The Scorch Trials,James Dashner,9780385738750
Before I Go to Sleep,S. J. Watson,9780062060563
Eleanor & Park,Rainbow Rowell,9781250012579
P.S. I Love You,Cecelia Ahern,9780786890750
