title,author,isbn,publicationDate,coverImageUrl,genres,sourceUrl
The Pinnacle,Abir Mukherjee,9780316260763,2026-06-16,https://www.hachettebookgroup.com/wp-content/uploads/2026/07/9780316260763.jpg,mystery;thriller;crime,https://www.hachettebookgroup.com/titles/abir-mukherjee/the-pinnacle/9780316260763/
Even the Darkest Night,Javier Cercas,9798217008957,2026-06-23,https://images4.penguinrandomhouse.com/smedia/9798217008957,mystery;thriller;crime,https://www.penguinrandomhouse.com/books/653054/even-the-darkest-night-by-javier-cercas/9798217008957/
Bullfight,Yasushi Inoue,9781805332022,2026-06-30,https://images2.penguinrandomhouse.com/smedia/9781805332022,classics;literary-fiction,https://www.penguinrandomhouse.com/books/243278/bullfight-by-yasushi-inoue/9781805332022/
Main Characters,Bobby Palmer,9780316599139,2026-06-30,https://www.hachettebookgroup.com/wp-content/uploads/2025/12/9780316599139_e7b943.jpg,romance;contemporary;literary-fiction,https://www.hachettebookgroup.com/titles/bobby-palmer/main-characters/9780316599139/
Killer Vibes,Jack Friday,9781250428615,2026-07-14,https://mpd-biblio-covers.imgix.net/9781250428615.jpg,mystery;crime;humor,https://us.macmillan.com/books/9781250428615/killervibes/
Squandering the Blue,Kate Braverman,9780385552134,2026-07-14,https://images2.penguinrandomhouse.com/smedia/9780385552134,literary-fiction;fiction,https://www.penguinrandomhouse.com/books/17754/squandering-the-blue-by-kate-braverman-introduction-by-marisa-silver/9780385552134/
White Rabbit,Abigail Rose-Marie,9781454966258,2026-07-14,https://www.hachettebookgroup.com/wp-content/uploads/2025/11/9781454966258_12e4fb.jpg,literary-fiction;horror,https://www.hachettebookgroup.com/titles/abigail-rose-marie/white-rabbit/9781454966258/
As Long as It Takes,Jill Francis,9781250322326,2026-07-21,https://mpd-biblio-covers.imgix.net/9781250322326.jpg,romance;contemporary,https://us.macmillan.com/books/9781250322326/aslongasittakes/
Runner,Ashton Lattimore,9780593975459,2026-07-28,https://images2.penguinrandomhouse.com/smedia/9780593975459,historical-fiction;thriller,https://www.penguinrandomhouse.com/books/773544/runner-by-ashton-lattimore/9780593975459/
Taormina,Yves Ravey,9798896230403,2026-07-28,https://images4.penguinrandomhouse.com/smedia/9798896230403,crime;literary-fiction;thriller,https://www.penguinrandomhouse.com/books/808204/taormina-by-yves-ravey-translated-from-the-french-by-alyson-waters/9798896230403/
Dreamland,Olivie Blake,9781250368935,2026-08-11,https://mpd-biblio-covers.imgix.net/9781250368935.jpg,fantasy;horror;literary-fiction,https://us.macmillan.com/books/9781250368935/dreamland/
Range,Dorthe Nors,9781644454046,2026-08-18,https://mpd-biblio-covers.imgix.net/9781644454046.jpg,literary-fiction;science,https://us.macmillan.com/books/9781644454046/range/
The Black Wolf,Louise Penny,9781250328199,2026-08-25,https://mpd-biblio-covers.imgix.net/9781250328199.jpg,mystery;thriller;crime,https://us.macmillan.com/books/9781250328199/theblackwolf/
In This Bright Future,Peter Grainger,9781454968603,2026-09-01,https://www.hachettebookgroup.com/wp-content/uploads/2026/08/9781454968603_d5d78f.jpg,mystery;thriller;crime,https://www.hachettebookgroup.com/titles/peter-grainger/in-this-bright-future/9781454968603/
Fallow,Sarah Anderson,9780374621148,2026-09-15,https://mpd-biblio-covers.imgix.net/9780374621148.jpg,literary-fiction;dystopian;contemporary,https://us.macmillan.com/books/9780374621148/fallow/
The Bookshop Woman,Nanako Hanada,9798217045556,2026-09-15,https://images1.penguinrandomhouse.com/smedia/9798217045556,memoir;biography,https://www.penguinrandomhouse.com/books/780642/the-bookshop-woman-by-nanako-hanada-translated-by-cat-anderson/9798217045556/
The Butterfly Season,Lea Korsgaard,9798217208869,2026-09-15,https://images4.penguinrandomhouse.com/smedia/9798217208869,memoir;science,https://www.penguinrandomhouse.com/books/825251/the-butterfly-season-by-lea-korsgaard/9798217208869/
The Newer World,Sebastian Barry,9780593654613,2026-09-15,https://images2.penguinrandomhouse.com/smedia/9780593654613,historical-fiction;literary-fiction,https://www.penguinrandomhouse.com/books/725853/the-newer-world-by-sebastian-barry/9780593654613/
American Hagwon,Min Jin Lee,9781538752036,2026-09-29,https://www.hachettebookgroup.com/wp-content/uploads/2026/02/9781538752036.jpg,literary-fiction;contemporary,https://www.hachettebookgroup.com/titles/min-jin-lee/american-hagwon/9781538752036/
Ply,Hernan Diaz,9780593719541,2026-09-29,https://images2.penguinrandomhouse.com/smedia/9780593719541,science-fiction;literary-fiction;dystopian,https://www.penguinrandomhouse.com/books/752337/ply-by-hernan-diaz/9780593719541/
